_id,Food, Servings,Calories,Calories from Fat,Total Fat (g),Total Fat (%DV) ,Sodium (g),Sodium (%DV) ,Potassium (g),Potassium (%DV),Total Carbo-hydrate (g) ,Total Carbo-hydrate (%DV) ,Dietary Fiber (g) ,Dietary Fiber (%DV) ,Sugars (g) ,Protein (g) ,Vitamin A (%DV),Vitamin C (%DV) ,Calcium (%DV) 
5fc8e8f12f687d34c0db0155,Tuna,false,130,15,1.5,2,40,2,480,14,false,false,false,false,false,26,2,2,2
5fc8e8f12f687d34c0db011b,Broccoli, 1 medium stalk (148 g/5.3 oz),45,false,0.5,true,80,3,460,13,8,3,3,12,2,4,6,220,6
5fc8e8f12f687d34c0db0128,Radishes, 7 radishes (85 g/3.0 oz),10,false,false,false,55,2,190,5,3,true,true,4,2,false,false,30,2
5fc8e8f12f687d34c0db012a,Sweet Corn, kernels from 1 medium ear (90 g/3.2 oz),90,20,2.5,4,false,false,250,7,18,6,2,8,5,4,2,10,false
5fc8e8f12f687d34c0db0144,Cod,false,90,5,true,2,65,3,460,13,false,false,false,false,false,20,false,2,2
5fc8e8f12f687d34c0db0120,Green (Snap) Beans, 3/4 cup cut (83 g/3.0 oz),20,false,false,false,false,false,200,6,5,2,3,12,2,true,4,10,4
5fc8e8f12f687d34c0db0139,Peach, 1 medium (147 g/5.3 oz),60,false,0.5,true,false,false,230,7,15,5,2,8,13,true,6,15,false
5fc8e8f12f687d34c0db0142,Catfish,false,130,60,6,9,40,2,230,7,false,false,false,false,false,17,false,false,false
5fc8e8f12f687d34c0db0154,Tilapia,false,110,20,2.5,4,30,true,360,10,false,false,false,false,false,22,false,2,false
5fc8e8f12f687d34c0db013f,Tangerine, 1 medium (109 g/3.9 oz),50,false,false,false,false,false,160,5,13,4,2,8,9,true,6,45,4
5fc8e8f12f687d34c0db0148,Lobster,false,80,false,0.5,true,320,13,300,9,true,false,false,false,false,17,2,false,6
5fc8e8f12f687d34c0db0152,Shrimp,false,100,10,1.5,2,240,10,220,6,false,false,false,false,false,21,4,4,6
5fc8e8f12f687d34c0db0136,Lime, 1 medium (67 g/2.4 oz),20,false,false,false,false,false,75,2,7,2,2,8,false,false,false,35,false
5fc8e8f12f687d34c0db0129,Summer Squash, 1/2 medium (98 g/3.5 oz),20,false,false,false,false,false,260,7,4,true,2,8,2,true,6,30,2
5fc8e8f12f687d34c0db012b,Sweet Potato," 1 medium  5"" long  2"" diameter (130 g/4.6 oz)",100,false,false,false,70,3,440,13,23,8,4,16,7,2,120,30,4
5fc8e8f12f687d34c0db0132,Grapes, 3/4 cup (126 g/4.5 oz),90,false,false,false,15,true,240,7,23,8,true,4,20,false,false,2,2
5fc8e8f12f687d34c0db0147,Halibut,false,120,15,2,3,60,3,500,14,false,false,false,false,false,23,4,false,2
5fc8e8f12f687d34c0db014b,Oysters, about 12 medium,100,35,4,6,300,13,220,6,6,2,false,false,false,10,false,6,6
5fc8e8f12f687d34c0db013c,Plums, 2 medium (151 g/5.4 oz),70,false,false,false,false,false,230,7,19,6,2,8,16,true,8,10,false
5fc8e8f12f687d34c0db0150,Salmon, Chum/Pink,130,40,4,6,65,3,420,12,false,false,false,false,false,22,2,false,2
